indicator,total_rows,valid_values,low_sample_values,suppressed_values,missing_values,valid_percentage,quality_category,category,selection,selection_reason,direction
children_age_12_23_months_fully_vaccinated_based_on_information_from_vaccination_card_only12_pct,706,684,323,-301,22,96.88385269121812,High,Child Immunization,Core,Primary healthcare gap indicator,Positive
children_age_12_23_months_who_have_received_bcg_pct,706,693,232,-219,13,98.15864022662889,High,Child Immunization,Core,Primary healthcare gap indicator,Positive
children_age_12_23_months_who_have_received_3_doses_of_polio_vaccine13_pct,706,693,232,-219,13,98.15864022662889,High,Child Immunization,Core,Primary healthcare gap indicator,Positive
children_age_12_23_months_who_have_received_3_doses_of_penta_or_dpt_vaccine_pct,706,693,232,-219,13,98.15864022662889,High,Child Immunization,Core,Primary healthcare gap indicator,Positive
children_age_12_23_months_who_have_received_the_first_dose_of_measles_containing_vaccine_mcv_pct,706,693,232,-219,13,98.15864022662889,High,Child Immunization,Core,Primary healthcare gap indicator,Positive
children_age_24_35_months_who_have_received_a_second_dose_of_measles_containing_vaccine_mcv_pct,706,693,232,-219,13,98.15864022662889,High,Child Immunization,Core,Primary healthcare gap indicator,Positive
children_age_12_23_months_who_have_received_3_doses_of_rotavirus_vaccine14_pct,706,693,232,-219,13,98.15864022662889,High,Child Immunization,Core,Primary healthcare gap indicator,Positive
children_age_12_23_months_who_have_received_3_doses_of_penta_or_hepatitis_b_vaccine_pct,706,693,232,-219,13,98.15864022662889,High,Child Immunization,Core,Primary healthcare gap indicator,Positive
children_age_9_35_months_who_received_a_vitamin_a_dose_in_the_last_6_months_pct,706,705,5,-4,1,99.85835694050992,High,Child Nutrition,Core,Primary healthcare gap indicator,Positive
children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_public_health_facility_pct,706,690,252,-236,16,97.73371104815864,High,Child Immunization,Core,Primary healthcare gap indicator,Context
children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_private_health_facility_pct,706,690,252,-236,16,97.73371104815864,High,Child Immunization,Core,Primary healthcare gap indicator,Context
prevalence_of_diarrhoea_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct,706,706,0,0,0,100.0,High,Child Illness & Healthcare Access,Core,Primary healthcare gap indicator,Negative
children_with_diarrhoea_in_the_2_weeks_preceding_the_survey_who_received_oral_rehydration_salts_ors_children_under_age_5_years_pct,706,214,162,330,492,30.31161473087819,Low,Child Illness & Healthcare Access,Exclude,Low data coverage,Negative
children_with_diarrhoea_in_the_2_weeks_preceding_the_survey_who_received_zinc_children_under_age_5_years_pct,706,214,162,330,492,30.31161473087819,Low,Child Illness & Healthcare Access,Exclude,Low data coverage,Negative
children_swith_diarrhoea_in_the_2_weeks_preceding_the_survey_taken_to_a_health_facility_or_health_provider_children_under_age_5_years_pct,706,214,162,330,492,30.31161473087819,Low,Child Illness & Healthcare Access,Exclude,Low data coverage,Negative
children_prevalence_of_symptoms_of_acute_respiratory_infection_ari_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct,706,706,0,0,0,100.0,High,Child Illness & Healthcare Access,Core,Primary healthcare gap indicator,Negative
children_with_fever_or_symptoms_of_ari_in_the_2_weeks_preceding_the_survey_taken_to_a_health_facility_or_health_provider_children_under_age_5_years_pct,706,482,264,-40,224,68.27195467422096,Low,Child Illness & Healthcare Access,Exclude,Low data coverage,Context
children_under_age_3_years_breastfed_within_one_hour_of_birth15_pct,706,706,1,-1,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Positive
children_under_age_6_months_exclusively_breastfed16_pct,706,445,347,-86,261,63.03116147308781,Low,Child Nutrition,Exclude,Low data coverage,Positive
children_age_6_8_months_receiving_solid_or_semi_solid_food_and_breastmilk16_pct,706,64,62,580,642,9.06515580736544,Low,Child Nutrition,Exclude,Low data coverage,Context
breastfeeding_children_age_6_23_months_receiving_an_adequate_diet16_17_pct,706,701,136,-131,5,99.29178470254958,High,Child Nutrition,Core,Primary healthcare gap indicator,Positive
non_breastfeeding_children_age_6_23_months_receiving_an_adequate_diet16_17_pct,706,63,59,584,643,8.923512747875353,Low,Child Nutrition,Exclude,Low data coverage,Positive
total_children_age_6_23_months_receiving_an_adequate_diet16_17_pct,706,705,51,-50,1,99.85835694050992,High,Child Nutrition,Core,Primary healthcare gap indicator,Positive
children_under_5_years_who_are_stunted_height_for_age_18_pct,706,706,1,-1,0,100.0,High,Child Nutrition,Core,Primary healthcare gap indicator,Negative
children_under_5_years_who_are_wasted_weight_for_height_18_pct,706,706,1,-1,0,100.0,High,Child Nutrition,Core,Primary healthcare gap indicator,Negative
children_under_5_years_who_are_severely_wasted_weight_for_height_19_pct,706,706,1,-1,0,100.0,High,Child Nutrition,Core,Primary healthcare gap indicator,Negative
children_under_5_years_who_are_underweight_weight_for_age_18_pct,706,706,1,-1,0,100.0,High,Child Nutrition,Core,Primary healthcare gap indicator,Negative
children_under_5_years_who_are_overweight_weight_for_height_20_pct,706,706,1,-1,0,100.0,High,Child Nutrition,Core,Primary healthcare gap indicator,Negative
women_age_15_49_years_whose_body_mass_index_bmi_is_below_normal_bmi_18_5_kg_m2_21_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
women_age_15_49_years_who_are_overweight_or_obese_bmi_25_0_kg_m2_21_pct,706,706,0,0,0,100.0,High,Child Nutrition,Core,Primary healthcare gap indicator,Negative
women_age_15_49_years_who_have_high_risk_waist_to_hip_ratio_0_85_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
children_age_6_59_months_who_are_anaemic_11_0_g_dl_22_pct,706,706,2,-2,0,100.0,High,Child Nutrition,Core,Primary healthcare gap indicator,Negative
non_pregnant_women_age_15_49_years_who_are_anaemic_12_0_g_dl_22_pct,706,706,0,0,0,100.0,High,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Negative
pregnant_women_age_15_49_years_who_are_anaemic_11_0_g_dl_22_pct,706,572,421,-287,134,81.01983002832861,Moderate,Maternal & Newborn Health,Core,Primary healthcare gap indicator,Negative
all_women_age_15_49_years_who_are_anaemic22_pct,706,706,0,0,0,100.0,High,Child Nutrition,Core,Primary healthcare gap indicator,Negative
all_women_age_15_19_years_who_are_anaemic22_pct,706,706,3,-3,0,100.0,High,Child Nutrition,Core,Primary healthcare gap indicator,Negative
women_age_15_years_and_above_with_high_141_160_mg_dl_blood_sugar_level23_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
